;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
20;Программист;Москва;150000.0;200000.0;Филиал «Юго-Восточный» ООО «Антей»;2019-11-20T08:59:46+0300;1;3;Полный день;Полная занятость;"  Знание:  Платформа 1С 8.3, в т.ч. СКД и технологии работы с управляемыми формами и разработки под «тонкий клиент» Стандарты программирования в среде 1С. Архитектура программных продуктов: 1С: ЕRP, 1С: Бухгалтерия, 1С: Зарплата и управление персоналом. Принципы бухгалтерского и налогового учетов, основы учета заработной платы. Конвертация данных 2.0 и 3.0  Обязанности:  Обработка запросов пользователей на изменения и устранение инцидентов в работе информационных систем на базе 1С. Реализация изменений в информационных системах 1С, проектирование системы, разработка функциональной модели. Сопровождение и обновление баз данных Настройка интеграции между существующими базами данных. Обучение и консультирование пользователей 1С. Подготовка технической документации к информационным системам 1С. Участие в рабочих совещаниях и рабочих группах компании по системам автоматизации 1С и связанных с ними бизнес-процессов.  Приветствуется:  Сертификаты специалиста по платформе, ЕRP, УТ.  Требования:  Эффективно и быстро разрабатывать новые модули в системе 1С, в соответствии с рекомендованными стандартами. Уточнять и структурировать запросы пользователей. Тестировать разработанные механизмы (как свои, так и чужие). Писать базовую техническую документацию по разработкам (инструкции, описания изменений). Опыт работы программистом на проектах внедрения на платформе 1С либо специалистом поддержки в крупной компании Высшее образование Наличие сертификата по профессионалу ЕRP  Условия:  График работы 5/2 с 09:00 до 18:00; Для кандидатов с потенциалом внутреннее обучение для дальнейшего корпоративного роста Комфортное рабочее место. Официальное трудоустройство, соблюдение ТК РФ. Транспорт от м. Печатники, бесплатная парковка для личного а\т Комплексные обеды за счет предприятия. Оплата достойная, договорная по итогам собеседования.     ";"  График работы 5/2 с 09:00 до 18:00; Для кандидатов с потенциалом внутреннее обучение для дальнейшего корпоративного роста Комфортное рабочее место. Официальное трудоустройство, соблюдение ТК РФ. Транспорт от м. Печатники, бесплатная парковка для личного а\т Комплексные обеды за счет предприятия. Оплата достойная, договорная по итогам собеседования.     ";Писать базовую техническую документацию по разработкам (инструкции, описания изменений). Опыт работы <highlighttext>программистом</highlighttext> на проектах внедрения на платформе 1С либо...;Знание: Платформа 1С 8.3, в т.ч. СКД и технологии работы с управляемыми формами и разработки под «тонкий...;
37;Программист;Санкт-Петербург;60000.0;130000.0;Филиал СКБ Энергия АО Завод Энергия;2019-11-18T08:57:30+0300;1;3;Полный день;Полная занятость;"Обязанности:   разработка программного обеспечения;   доработка, тестирование, отладка существующего программного обеспечения;   разработка программной документации;   настройка программного обеспечения;   исправление неисправностей, проведение стыковых мероприятий с ПО сторонних организаций, в т.ч. в командировках   Требования:   опыт работы в ОС Linux, в т.ч. использование командной строки   разработка программ для Linux на C/C++ (использование make, gcc, gdb, использование средств ssh, sftp)   использование графических средств разработки (IDE)   готовность к редким командировкам   образование высшее очное (желательно специалист либо магистр)     Желательно:   опыт разработки с использованием Qt (4.6 или выше)   опыт установки, настройки ЭВМ под управлением ОС Linux (настройка и проверка сети, текущего оборудования)   опыт использования баз данных   Условия:   компания полностью белая;   пятидневная рабочая неделя (выходные: суббота, воскресенье);  уровень з/п зависит от личного вклада в работу компании и состоит из фиксированного оклада, который обсуждается на собеседовании и ежемесячных, квартальных и годовых премий, доплат;  возможность выбора начала рабочего дня от 7:30ч до 9:30ч (обед 30 мин);  ";"   компания полностью белая;   пятидневная рабочая неделя (выходные: суббота, воскресенье);  уровень з/п зависит от личного вклада в работу компании и состоит из фиксированного оклада, который обсуждается на собеседовании и ежемесячных, квартальных и годовых премий, доплат;  возможность выбора начала рабочего дня от 7:30ч до 9:30ч (обед 30 мин);  ";Опыт работы в ОС Linux, в т.ч. использование командной строки. Разработка программ для Linux на C/C++ (использование make...;Разработка программного обеспечения. Доработка, тестирование, отладка существующего программного обеспечения. Разработка программной документации. Настройка программного обеспечения. Исправление неисправностей, проведение стыковых мероприятий...;
26;Программист;Москва;55000.0;80000.0;Media Instinct Group;2019-11-20T12:17:56+0300;0;0;Полный день;Полная занятость;В медийном рекламном агентстве Media Instinct, входящем в OMD OM Group, открыта позиция Программиста в отделе стратегического медиапланирования и исследований. Задачи:  - Поддержка существующих БД и создание новых БД на базе MS SQL,- Развитие существующего собственного ПО и создание нового,- Поддержка пользователей по базам в MS SQL и ПО. Требования:- MS SQL (создание баз, написание процедур, функций, сложные запросы),- C++,- QT Creator (желательно QT activex). Условия:  Работа в динамично развивающейся компании. Достойная белая заработная плата. Перспективы профессионального и личностного роста. Оформление согласно ТК РФ. Социальный пакет (ДМС, английский язык в офисе). Молодой дружный коллектив профессионалов. Чай/кофе, фрукты и сладости в офисе. Офис расположен в 5 минутах ходьбы от м. Молодежная.   ;  Работа в динамично развивающейся компании. Достойная белая заработная плата. Перспективы профессионального и личностного роста. Оформление согласно ТК РФ. Социальный пакет (ДМС, английский язык в офисе). Молодой дружный коллектив профессионалов. Чай/кофе, фрукты и сладости в офисе. Офис расположен в 5 минутах ходьбы от м. Молодежная.   ;C++.;Поддержка существующих БД и создание новых БД на базе MS SQL. - Развитие существующего собственного ПО и создание нового. - ;
18;Программист;Тюмень;40000.0;60000.0;Тюменский кардиологический центр;2019-11-06T09:37:42+0300;0;0;Полный день;Полная занятость;Обязанности:    Сопровождение программ на 1С 8.3 Настройка и сопровождение обмена данными между базами Консультирование пользователей по вопросам работоспособности ПО Доработка программ на 1С 8.3  Требования:  Высшее профессиональное образование Опыт сопровождения и доработки конфигураций на платформе 1С 8.3, обновление типовых доработанных конфигураций Умение работать в группе программистов  Условия:   25 000 — 60 000 руб. Тюменский кардиологический научный центр Тюмень, Ленинский район, Мельникайте,   Полный рабочий день Полная занятость  ;   25 000 — 60 000 руб. Тюменский кардиологический научный центр Тюмень, Ленинский район, Мельникайте,   Полный рабочий день Полная занятость  ;Опыт сопровождения и доработки конфигураций на платформе 1С 8.3, обновление типовых доработанных конфигураций. Умение работать в группе <highlighttext>программистов</highlighttext>.;Сопровождение программ на 1С 8.3. Настройка и сопровождение обмена данными между базами. Консультирование пользователей по вопросам работоспособности ПО. ;
41;Программист;Тюмень;40000.0;55000.0;ГАУ ТО ЦЗН города Тюмени и Тюменского района;2019-11-20T06:57:19+0300;0;0;Полный день;Полная занятость;"Обязанности:   Ваша работа будет заключаться в ... - Консультации пользователей по вопросам работы в программных продуктах 1С (УПП, Бухгалтерия, ЗУП); - Программировании и доработке конфигураций 1С в соответствии с техническими заданиями; - Мониторинге выхода новых типовых конфигураций необходимых для обновления программ на базе 1С, контроль изменений в новых конфигурациях; - Разработке конфигурации в 1С по представленным техническим заданиям других отделов и подразделений предприятия.  Требования:   нет требований к стажу Работа с компьютером на профессиональном уровне Эта работа для Вас если… - Вы имеете высшее техническое образование; - Умеете проектировать информационные системы и базы данных, владеть встроенным языком программирования 1С, имеете опыт программирования в иных формализованных языках программирования; - Ориентируетесь в основных конфигурациях 1С связанных с функционированием средних и крупных предприятий; - Знаете устройство и принципы работы операционных систем и компьютерной техники; - Умеете работать в режиме многозадачности.   Условия:   Пятидневная рабочая неделя с 8-00 до 17-00   оформление в рамках трудового законодательства   Повременно-премиальная оплата труда  Адрес рабочего места: рп Винзили, р-н Тюменский, ул Вокзальная развозка людей питание в столовой обучение за счет работодателя вакансия рассматривается по результатам изучения резюме ";   Пятидневная рабочая неделя с 8-00 до 17-00   оформление в рамках трудового законодательства   Повременно-премиальная оплата труда  Адрес рабочего места: рп Винзили, р-н Тюменский, ул Вокзальная развозка людей питание в столовой обучение за счет работодателя вакансия рассматривается по результатам изучения резюме ;Нет требований к стажу. Работа с компьютером на профессиональном уровне. Эта работа для Вас если…. - Вы имеете высшее техническое образование. - ;Ваша работа будет заключаться в ... - Консультации пользователей по вопросам работы в программных продуктах 1С (УПП, Бухгалтерия, ЗУП). - ;
2;Программист;Санкт-Петербург;40000.0;;ОпенСервис;2019-11-20T11:04:07+0300;0;0;Полный день;Полная занятость;"Привет!  Мы - компания Open Service – крупнейшая компания по автоматизации и консалтингу в ресторанной сфере по Санкт-Петербургу, а также одна из главных дилеров ПО iiko по России. Сегодня наш опыт и знания складываются из работы более чем с 3000 ресторанов. Мы автоматизируем каждый четвертый ресторан в Санкт-Петербурге из 20 открывающихся ежемесячно! А еще у нас самая классная молодая и открытая команда профессионалов! В наш небольшой отдел BeOpenSoft, призванный доказывать коллегам и конкурентам, что невозможное возможно, требуется специалист, с которым будет приятно работать, обладающий ключевыми навыками:  Внимательность; Усидчивость; Пытливый ум;    Задачи:  Систематизация и организация текущей кодовой базы компании; Разработка ПО на С++, C#, Python, Java; Всё что угодно душе заказчика - суровый Enterprise диктует свои законы; Тестирование новых продуктов и поиск идей, что бы нам завтра написать\внедрить.    Что хотим от Вас:  Знания и практический опыт в каком - либо из этих языков: С++, C#, Python, Java, JavaScript; Понимание REST API, RPC (Json\Xml), CI; Желание разобраться в задаче; Ответственность довести до конца начатое дело; Интерес к работе;    Приятным сюрпризом будет, если:  Есть опыт разработки для ARM \ Arduino \ Etc; Знаете основы системного администрирования; Знакомы с бизнес-процессами в ресторанной сфере, системами автоматизации; Вы в прошлом работали в команде; Горите идеей создания хорошего продукта для широкой аудитории;  Заработная плата изначально закладываем от 40 000 т.р , детальнее обсуждается на собеседовании.   БОНУСЫ:  Возможность обучения; Интересный опыт работы; Офисы с дружелюбными коллегами от Москвы до Владивостока; Отличный офис с индустриальным видом Оформление по ТК РФ    ДОПОЛНИТЕЛЬНЫЕ ИНСТРУКЦИИ:  Отправить резюме; Прикрепить ссылку на репозиторий с самым ёмким кодом, написанным Тобой; Приехать на собеседование в офис, указанный в профиле компании. ";;Внимательность. Усидчивость. Пытливый ум. Знания и практический опыт в каком - либо из этих языков: С++, C#, Python, Java, JavaScript. ;Систематизация и организация текущей кодовой базы компании. Разработка ПО на С++, C#, Python, Java. Всё что угодно душе заказчика - суровый...;"Разработка ПО; backend; Системность; Git; MS SQL; Системная интеграция; C++; ARM; Etc Marine Systems; C#; Python; Java; JavaScript"
8;Программист;Екатеринбург;40000.0;;Финансовое ателье GrottBjorn, ЗАО Среднеуральский Брокерский Центр;2019-11-19T14:30:19+0300;3;6;Гибкий график;Полная занятость;"Обязанности:  Разработка, доработка, отладка процедур, триггеров, функций; Оптимизация sql-запросов (анализ планов), настройка индексов; Разработка/доработка отчетных форм StimulSoft; Сопровождение текущих эксплуатируемых решений; Загрузка и обработка форматов данных XML, CSV, XLS; Консультация пользователей.  Требования:  Умение разбираться в чужом коде; Навыки администрирования баз данных; Дополнительными преимуществами будут знание XML, XSLT; Опыт работы по специальности от 3-х лет.  Условия:  Официальное трудоустройство, полностью официальная зарплата в срок; График работы 5/2; Дружный коллектив; Комфортный офис; чай, кофе; Высокая ориентированность на корпоративную культуру; Удобное расположение офиса в центре города. ";"  Официальное трудоустройство, полностью официальная зарплата в срок; График работы 5/2; Дружный коллектив; Комфортный офис; чай, кофе; Высокая ориентированность на корпоративную культуру; Удобное расположение офиса в центре города. ";Умение разбираться в чужом коде. Навыки администрирования баз данных. Дополнительными преимуществами будут знание XML, XSLT. Опыт работы по специальности от...;Разработка, доработка, отладка процедур, триггеров, функций. Оптимизация sql-запросов (анализ планов), настройка индексов. Разработка/доработка отчетных форм StimulSoft. ;"SQL; MS SQL; XML; Delphi; Работа с базами данных; StimulSoft"
97;Программист;Екатеринбург;40000.0;;Ассоциация «Русский Свет»;2019-11-08T07:27:52+0300;1;3;Полный день;Полная занятость;Обязанности:  сопровождение программного обеспечения консультации пользователей  Требования:  высшее профессиональное образование знание Microsoft SQL Server знание SQL Server Integration Services желательно знание SQL Server Reporting Services желательно опыт работы от года  Условия:  работа в крупной федеральной компании трудоустройство и начисление заработной платы в соответствии с действующим законодательством пятидневная рабочая неделя место работы ро адресу: БК Квартал, Сибирский тракт ;  работа в крупной федеральной компании трудоустройство и начисление заработной платы в соответствии с действующим законодательством пятидневная рабочая неделя место работы ро адресу: БК Квартал, Сибирский тракт ;Высшее профессиональное образование. Знание Microsoft SQL Server. Знание SQL Server Integration Services желательно. Знание SQL Server Reporting Services желательно. ;Сопровождение программного обеспечения. Консультации пользователей.;"MS SQL Server; Грамотная речь; SQL Server; Организация рабочих мест; MS Office"
71;Программист;Москва;60000.0;;СТОУН-XXI;2019-11-19T16:29:28+0300;0;0;Полный день;Полная занятость;В связи с развитием корпоративной информационной системы и расширением отдела прикладных разработок мы ищем в IT команду программиста с возможностью приобретения необходимых навыков в процессе работы и последующего включения в состав рабочей группы на сложных проектах. Основные задачи:  Модификация и поддержка модулей программ на VB 6.0 и C#, работающих с MS SQL. Участие в тестировании и запуске новых фич, проектов и приложений. Обработка и анализ баг-репортов.  Необходимые качества:  Хорошие коммуникативные навыки. Здоровый перфекционизм. Внимание к деталям, ответственность, аналитический склад ума, умение справляться с рутиной.  Будет отлично, если вы:  Имеете опыт самостоятельной разработки на VB 6.0, C# или схожих языках. Умеете самостоятельно писать рабочие SQL запросы. Умеете разбираться в чужом коде. Владеете английским языком на уровне чтения технической документации.  Мы предлагаем:  Оформление по ТК, социальные гарантии в полном объеме. Оклад 60 000 рублей после вычета подоходного налога (на руки). Комфортная и доброжелательная атмосфера в команде. Хорошие возможности профессионального роста, сложные задачи. Различные корпоративные активности и спортивные мероприятия. График работы 5/2, гибкое время начала рабочего дня. Офис в 2 минутах пешком от ст.м. «Нагатинская». ;  Оформление по ТК, социальные гарантии в полном объеме. Оклад 60 000 рублей после вычета подоходного налога (на руки). Комфортная и доброжелательная атмосфера в команде. Хорошие возможности профессионального роста, сложные задачи. Различные корпоративные активности и спортивные мероприятия. График работы 5/2, гибкое время начала рабочего дня. Офис в 2 минутах пешком от ст.м. «Нагатинская». ;Хорошие коммуникативные навыки. Здоровый перфекционизм. Внимание к деталям, ответственность, аналитический склад ума, умение справляться с рутиной. Имеете опыт самостоятельной разработки...;Модификация и поддержка модулей программ на VB 6.0 и C#, работающих с MS SQL. Участие в тестировании и запуске...;"MS SQL; Git; SQL; VB 6.0; C#; C++; ASP.NET; PostgreSQL; VBA; Windows Forms"
0;Программист;Екатеринбург;60000.0;;OmniLine;2019-11-20T15:30:31+0300;1;3;Полный день;Полная занятость;О нас: Мы помогаем нашим клиентам становиться лидерами в своих отраслях, повышать качество клиентского сервиса и уровень продаж за счет автоматизации процессов и внедрения лидирующих российских продуктов. Более 10 лет мы занимаемся автоматизацией бизнеса, внедряем контакт-центры, системы IP-телефонии, CRM и Service Desk системы. Автоматизируем продажи, сервис и коммуникации. За плечами несколько сотен проектов для крупных компании по всей России и СНГ. Среди наших клиентов торговые компании, операторы связи, сбытовые компании, сервисные компании, банки, интернет-магазины и другие компании, для которых высокий уровень клиентского сервиса является залогом успеха и лидерства. Мы активно развиваемся и постоянно находимся в поиске опытных профессионалов и начинающих амбициозных специалистов. Работая у нас вы получите возможность полностью реализовать свой потенциал и расти вместе с нами. Наши направления и вендоры: - Контакт-центры и IP-телефония (платформа Oktell) - CRM и Service Desk (платформа BPMOnline) - Чаты и чат-боты (Beesender, Oktell R2, Sherlock) Описание позиции: Программисты в нашей компании это прежде всего команда, нацеленная на решение нестандартных задач. Многие наши клиенты имеют свой штат программистов, но в проектах, которые мы реализуем, часто возникают задачи, которые требуют большей квалификации, навыков, другого мышления и подходов. Именно поэтому программисты важные участники команды внедрения, способные решать такие задачи. Обучение и карьера: Вы начинаете с позиции программиста. Погружаетесь в наши задачи, изучаете продукты, с которыми мы работаем. Далее проходите первую сертификацию на уровень Basic. С этого момента мы полноценно подключаем вас в проекты. Через решение задач и клиентских кейсов вы учитесь и нарабатываете опыт, который позволит вам сертифицироваться на уровень Advanсed и получить позицию ведущего программиста. Стек технологий: С#, SQL (основная работа MS SQL), JavaScript, JSON, XML (желательно WSDL, SOAP), Web-socket, REST API Обязанности: - Разработка нетиповых модулей для интеграции систем. Разработка модулей и конфигурация к программным продуктам   Требования:  хорошие знания C#, JavaScript желательно знание нотации BPMN обязательное знание SQL(начальный уровень) знание сетевых технологий TCP\IP, порты, маршруты и прочее приветствуется работа с Command Line (Windows), PowerShell, Bash SSH, FTP, TFTP, SMB умение работать с сертификатами и ключами шифрованиями личные качества: активность, ответственность, коммуникабельность, ориентация на результат, скрупулезность, умение работать в команде  Условия:  работа в дружном коллективе интересные задачи заработная плата по результатам собеседования и ожидания кандидатов: оклад + премии по результатам работы соц. пакет график пн-пт с 9.00 - 18.00 после трудоустройства проводится обучение ;  работа в дружном коллективе интересные задачи заработная плата по результатам собеседования и ожидания кандидатов: оклад + премии по результатам работы соц. пакет график пн-пт с 9.00 - 18.00 после трудоустройства проводится обучение ;Контакт-центры и IP-телефония (платформа Oktell). Хорошие знания C#, JavaScript. Желательно знание нотации BPMN. Обязательное знание SQL(начальный уровень). ;CRM и Service Desk (платформа BPMOnline). - Чаты и чат-боты (Beesender, Oktell R2, Sherlock). - Разработка нетиповых модулей для интеграции...;"JavaScript; C#; MS SQL; JSON API; SOAP; BPMN"
